text,category,priority
"У меня проблема с оплатой заказа №12345, карта отклоняется постоянно.",Payment,High
"Почему приложение зависает каждый раз, когда пытаюсь войти?",Technical,Medium
"Жду посылку уже неделю, никаких уведомлений",Delivery,Medium
"Помогите разобраться с аккаунтом, забыл пароль и логин",Account,High
"Опять эта ошибка! Сколько можно мучаться с вашим сайтом?",Technical,High
"Сайт упал при оплате, деньги списались дважды",Payment,High
"Уже месяц не могу зайти в личный кабинет",Account,Medium
"Почему доставка задерживается уже третий день подряд?",Delivery,Medium
"Ваш сайт ужасно тормозит, невозможно ничего сделать нормально",Technical,Low
"Все работает отлично, спасибо за поддержку",Other,Low